stat,statistic,pvalue,label,comparaison
wasserstein,10.657605940507972,,Truth,within
wasserstein,180.227593972561,,Indep,within
wasserstein,172.70158241864212,,Markov,within
wasserstein,105.87744246616337,,HMM,within
wasserstein,14.730710427256815,,WGAN,within
wasserstein,61.989574943431144,,RBM,within
wasserstein,23.59127932656167,,HCLT,within
wasserstein,5.3415205127845695,,Truth,between
wasserstein,128.2372063191697,,Indep,between
wasserstein,125.61065691098838,,Markov,between
wasserstein,86.25260920630002,,HMM,between
wasserstein,6.34826319838325,,WGAN,between
wasserstein,31.5045178192956,,RBM,between
wasserstein,18.729286455224372,,HCLT,between
wasserstein,0.0,,Real,dTS
wasserstein,0.0,,Real,dST
wasserstein,151.87225548902194,,Truth,dTS
wasserstein,152.14171656686625,,Truth,dST
wasserstein,759.7205588822355,,Indep,dTS
wasserstein,527.7205588822355,,Indep,dST
wasserstein,726.7205588822355,,Markov,dTS
wasserstein,541.7205588822355,,Markov,dST
wasserstein,448.85229540918164,,HMM,dTS
wasserstein,373.35728542914177,,HMM,dST
wasserstein,150.92814371257487,,WGAN,dTS
wasserstein,162.12175648702595,,WGAN,dST
wasserstein,170.94011976047904,,RBM,dTS
wasserstein,157.2674650698603,,RBM,dST
wasserstein,158.74051896207584,,HCLT,dTS
wasserstein,160.57085828343313,,HCLT,dST
