epoch,train_ll,val_ll,train_s,val_s
1,-6989.4735,-1377.7603,2.12,0.12
2,-1369.7379,-729.5939,1.23,0.04
3,-722.6481,-499.6291,1.24,0.04
4,-490.8292,-451.8773,1.25,0.05
5,-441.5878,-437.9892,1.25,0.04
6,-425.9972,-430.2511,1.23,0.04
7,-417.2403,-424.0550,1.24,0.04
8,-410.5061,-418.5522,1.25,0.04
9,-404.3496,-413.5907,1.25,0.04
10,-398.6542,-409.1559,1.24,0.04
11,-393.1579,-405.0812,1.25,0.04
12,-388.3247,-401.3308,1.26,0.04
13,-384.5693,-397.8853,1.24,0.04
14,-379.9496,-394.5854,1.24,0.05
15,-375.9134,-391.4669,1.24,0.04
16,-372.3857,-388.5648,1.24,0.04
17,-368.2693,-385.7579,1.24,0.04
18,-365.1268,-383.0752,1.24,0.04
19,-362.4137,-380.4957,1.25,0.04
20,-359.5579,-378.0716,1.24,0.04
21,-356.0554,-375.6739,1.25,0.04
22,-352.8920,-373.6524,1.25,0.04
23,-350.7807,-371.5999,1.24,0.04
24,-348.1661,-369.6614,1.25,0.05
25,-345.5288,-367.8115,1.24,0.04
26,-343.7553,-366.1278,1.25,0.04
27,-341.5350,-364.4663,1.25,0.04
28,-339.5502,-362.8345,1.24,0.05
29,-337.3725,-361.3128,1.24,0.04
30,-335.2398,-359.8705,1.25,0.04
31,-333.7223,-358.5676,1.24,0.04
32,-331.9191,-357.4521,1.25,0.04
33,-330.5149,-356.0586,1.24,0.04
34,-328.7947,-354.7430,1.25,0.04
35,-326.8671,-353.4247,1.24,0.04
36,-324.8157,-352.1730,1.24,0.04
37,-323.7538,-350.9412,1.24,0.04
38,-322.0569,-349.7247,1.24,0.04
39,-320.6095,-348.4270,1.24,0.04
40,-319.0826,-347.3353,1.24,0.04
41,-317.4502,-345.8975,1.47,0.05
42,-315.8584,-344.8177,1.24,0.04
43,-314.5602,-343.6932,1.25,0.04
44,-313.1840,-342.6781,1.24,0.04
45,-311.8697,-341.7729,1.24,0.05
