,stat,statistic,pvalue,label,PC,method,reg
0,wasserstein2D,0.0018064606179287186,,Real,1-2,combined_PCA,0.002
1,wasserstein2D,0.0017376655328078404,,Real,3-4,combined_PCA,0.002
2,wasserstein2D,0.0018187826997236034,,Real,5-6,combined_PCA,0.002
3,wasserstein2D,0.0025752923371528545,,Truth,1-2,combined_PCA,0.002
4,wasserstein2D,0.0021561776933485214,,Truth,3-4,combined_PCA,0.002
5,wasserstein2D,0.002229199897679895,,Truth,5-6,combined_PCA,0.002
6,wasserstein2D,0.24911269265115762,,Indep,1-2,combined_PCA,0.002
7,wasserstein2D,0.1402361784013103,,Indep,3-4,combined_PCA,0.002
8,wasserstein2D,0.10721819430897364,,Indep,5-6,combined_PCA,0.002
9,wasserstein2D,0.22597925429207505,,Markov,1-2,combined_PCA,0.002
10,wasserstein2D,0.11391146501712504,,Markov,3-4,combined_PCA,0.002
11,wasserstein2D,0.08549854852360533,,Markov,5-6,combined_PCA,0.002
12,wasserstein2D,0.08404165524794042,,HMM,1-2,combined_PCA,0.002
13,wasserstein2D,0.012942090411386109,,HMM,3-4,combined_PCA,0.002
14,wasserstein2D,0.014423618516105411,,HMM,5-6,combined_PCA,0.002
15,wasserstein2D,0.0028897804345754466,,WGAN,1-2,combined_PCA,0.002
16,wasserstein2D,0.0022967160946845556,,WGAN,3-4,combined_PCA,0.002
17,wasserstein2D,0.0023766535762787468,,WGAN,5-6,combined_PCA,0.002
18,wasserstein2D,0.002562477652146866,,RBM,1-2,combined_PCA,0.002
19,wasserstein2D,0.0022766062956330385,,RBM,3-4,combined_PCA,0.002
20,wasserstein2D,0.002320768155886886,,RBM,5-6,combined_PCA,0.002
21,wasserstein2D,0.005905138884319651,,GPC,1-2,combined_PCA,0.002
22,wasserstein2D,0.003616480296886088,,GPC,3-4,combined_PCA,0.002
23,wasserstein2D,0.002425803514887963,,GPC,5-6,combined_PCA,0.002
