,stat,statistic,pvalue,label,PC,method
0,wasserstein,0.0,,Real,1,combined_PCA
1,wasserstein,0.0,,Real,2,combined_PCA
2,wasserstein,0.0,,Real,3,combined_PCA
3,wasserstein,0.0,,Real,4,combined_PCA
4,wasserstein,0.0,,Real,5,combined_PCA
5,wasserstein,0.0,,Real,6,combined_PCA
6,wasserstein,0.45197797282431523,,Truth,1,combined_PCA
7,wasserstein,0.23300851719590993,,Truth,2,combined_PCA
8,wasserstein,0.15260823355072944,,Truth,3,combined_PCA
9,wasserstein,0.29708919694975156,,Truth,4,combined_PCA
10,wasserstein,0.17849380655688968,,Truth,5,combined_PCA
11,wasserstein,0.17295885278097523,,Truth,6,combined_PCA
12,wasserstein,7.027204824460805,,Indep,1,combined_PCA
13,wasserstein,4.978922498651352,,Indep,2,combined_PCA
14,wasserstein,4.447579278325467,,Indep,3,combined_PCA
15,wasserstein,3.6582922764861276,,Indep,4,combined_PCA
16,wasserstein,3.26155449656478,,Indep,5,combined_PCA
17,wasserstein,3.3237090530196642,,Indep,6,combined_PCA
18,wasserstein,6.892694383415778,,Markov,1,combined_PCA
19,wasserstein,4.844673943193044,,Markov,2,combined_PCA
20,wasserstein,4.199841798453183,,Markov,3,combined_PCA
21,wasserstein,3.38573391051556,,Markov,4,combined_PCA
22,wasserstein,3.008845049757337,,Markov,5,combined_PCA
23,wasserstein,3.164144759929728,,Markov,6,combined_PCA
24,wasserstein,5.655661816169016,,HMM,1,combined_PCA
25,wasserstein,3.2761016252249533,,HMM,2,combined_PCA
26,wasserstein,1.542313629033715,,HMM,3,combined_PCA
27,wasserstein,1.539708195303211,,HMM,4,combined_PCA
28,wasserstein,1.2303762949048087,,HMM,5,combined_PCA
29,wasserstein,1.640740146434234,,HMM,6,combined_PCA
30,wasserstein,0.615201622244467,,WGAN,1,combined_PCA
31,wasserstein,0.34107751083508203,,WGAN,2,combined_PCA
32,wasserstein,0.16578976455902733,,WGAN,3,combined_PCA
33,wasserstein,0.3649209200017035,,WGAN,4,combined_PCA
34,wasserstein,0.3231034550612916,,WGAN,5,combined_PCA
35,wasserstein,0.22001474216951464,,WGAN,6,combined_PCA
36,wasserstein,0.30070812703361616,,RBM,1,combined_PCA
37,wasserstein,0.2916122249571135,,RBM,2,combined_PCA
38,wasserstein,0.261940445639831,,RBM,3,combined_PCA
39,wasserstein,0.2606981847117232,,RBM,4,combined_PCA
40,wasserstein,0.3121490218782087,,RBM,5,combined_PCA
41,wasserstein,0.17393260859027435,,RBM,6,combined_PCA
42,wasserstein,1.4181534406805212,,GPC,1,combined_PCA
43,wasserstein,1.0872913381684777,,GPC,2,combined_PCA
44,wasserstein,0.647825895045917,,GPC,3,combined_PCA
45,wasserstein,0.6005326599180811,,GPC,4,combined_PCA
46,wasserstein,0.2267640150962004,,GPC,5,combined_PCA
47,wasserstein,0.34171753256991105,,GPC,6,combined_PCA
