,stat,statistic,pvalue,label,PC,method,reg
0,wasserstein2D,0.0017646481474563871,,Real,1-2,combined_PCA,0.002
1,wasserstein2D,0.0018640511802729758,,Real,3-4,combined_PCA,0.002
2,wasserstein2D,0.0018798795376530778,,Real,5-6,combined_PCA,0.002
3,wasserstein2D,0.0018373922581372943,,Truth,1-2,combined_PCA,0.002
4,wasserstein2D,0.001974833098184562,,Truth,3-4,combined_PCA,0.002
5,wasserstein2D,0.001939173005542903,,Truth,5-6,combined_PCA,0.002
6,wasserstein2D,0.08561309207365594,,Indep,1-2,combined_PCA,0.002
7,wasserstein2D,0.08568209650895332,,Indep,3-4,combined_PCA,0.002
8,wasserstein2D,0.0657828084458741,,Indep,5-6,combined_PCA,0.002
9,wasserstein2D,0.08162084925551806,,Markov,1-2,combined_PCA,0.002
10,wasserstein2D,0.07200789944255359,,Markov,3-4,combined_PCA,0.002
11,wasserstein2D,0.0593322123146543,,Markov,5-6,combined_PCA,0.002
12,wasserstein2D,0.03897999950383767,,HMM,1-2,combined_PCA,0.002
13,wasserstein2D,0.015118557416625608,,HMM,3-4,combined_PCA,0.002
14,wasserstein2D,0.027294503176190803,,HMM,5-6,combined_PCA,0.002
15,wasserstein2D,0.0022158109062708517,,WGAN,1-2,combined_PCA,0.002
16,wasserstein2D,0.0022892545636853823,,WGAN,3-4,combined_PCA,0.002
17,wasserstein2D,0.002157755816595577,,WGAN,5-6,combined_PCA,0.002
18,wasserstein2D,0.002046603814035456,,RBM,1-2,combined_PCA,0.002
19,wasserstein2D,0.001999625646973132,,RBM,3-4,combined_PCA,0.002
20,wasserstein2D,0.002228824987530407,,RBM,5-6,combined_PCA,0.002
21,wasserstein2D,0.0026224654737877083,,GPC,1-2,combined_PCA,0.002
22,wasserstein2D,0.0023760456535979603,,GPC,3-4,combined_PCA,0.002
23,wasserstein2D,0.0025230160639180856,,GPC,5-6,combined_PCA,0.002
