[Epoch 1/5000][train LL: -1737.96; val LL: -672.05].....[train forward+backward+step 5.56; val forward 0.23]
[Epoch 2/5000][train LL: -676.06; val LL: -623.62].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 3/5000][train LL: -627.29; val LL: -564.72].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 4/5000][train LL: -568.52; val LL: -523.71].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 5/5000][train LL: -527.66; val LL: -498.34].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 6/5000][train LL: -502.21; val LL: -479.05].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 7/5000][train LL: -482.69; val LL: -461.65].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 8/5000][train LL: -465.59; val LL: -445.50].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 9/5000][train LL: -449.34; val LL: -431.28].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 10/5000][train LL: -435.43; val LL: -419.41].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 11/5000][train LL: -423.68; val LL: -409.92].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 12/5000][train LL: -413.63; val LL: -402.01].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 13/5000][train LL: -405.79; val LL: -394.96].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 14/5000][train LL: -398.98; val LL: -388.39].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 15/5000][train LL: -392.44; val LL: -381.84].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 16/5000][train LL: -385.90; val LL: -375.44].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 17/5000][train LL: -379.30; val LL: -369.21].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 18/5000][train LL: -372.93; val LL: -363.51].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 19/5000][train LL: -367.46; val LL: -358.69].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 20/5000][train LL: -362.29; val LL: -354.17].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 21/5000][train LL: -358.06; val LL: -350.36].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 22/5000][train LL: -353.74; val LL: -346.84].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 23/5000][train LL: -350.23; val LL: -343.48].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 24/5000][train LL: -347.08; val LL: -340.27].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 25/5000][train LL: -343.60; val LL: -337.10].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 26/5000][train LL: -340.47; val LL: -334.06].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 27/5000][train LL: -337.44; val LL: -331.18].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 28/5000][train LL: -334.56; val LL: -328.48].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 29/5000][train LL: -331.48; val LL: -325.84].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 30/5000][train LL: -329.44; val LL: -323.20].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 31/5000][train LL: -326.47; val LL: -320.51].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 32/5000][train LL: -323.32; val LL: -317.85].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 33/5000][train LL: -320.76; val LL: -315.35].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 34/5000][train LL: -318.94; val LL: -312.91].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 35/5000][train LL: -316.11; val LL: -310.37].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 36/5000][train LL: -313.19; val LL: -307.99].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 37/5000][train LL: -311.28; val LL: -305.78].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 38/5000][train LL: -308.91; val LL: -303.92].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 39/5000][train LL: -306.70; val LL: -302.03].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 40/5000][train LL: -304.99; val LL: -300.48].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 41/5000][train LL: -303.82; val LL: -298.94].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 42/5000][train LL: -302.39; val LL: -297.36].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 43/5000][train LL: -300.68; val LL: -295.83].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 44/5000][train LL: -299.23; val LL: -294.19].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 45/5000][train LL: -297.36; val LL: -292.66].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 46/5000][train LL: -295.87; val LL: -291.19].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 47/5000][train LL: -294.49; val LL: -289.94].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 48/5000][train LL: -293.24; val LL: -288.84].....[train forward+backward+step 5.41; val forward 0.22]
[Epoch 49/5000][train LL: -291.86; val LL: -287.60].....[train forward+backward+step 5.40; val forward 0.22]
[Epoch 50/5000][train LL: -291.18; val LL: -286.28].....[train forward+backward+step 5.39; val forward 0.22]
[Epoch 51/5000][train LL: -289.62; val LL: -284.84].....[train forward+backward+step 5.75; val forward 0.22]
[Epoch 52/5000][train LL: -288.51; val LL: -283.54].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 53/5000][train LL: -286.96; val LL: -282.26].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 54/5000][train LL: -285.87; val LL: -281.30].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 55/5000][train LL: -284.12; val LL: -280.12].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 56/5000][train LL: -283.68; val LL: -279.20].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 57/5000][train LL: -282.78; val LL: -278.26].....[train forward+backward+step 5.41; val forward 0.22]
[Epoch 58/5000][train LL: -281.53; val LL: -277.29].....[train forward+backward+step 5.44; val forward 0.22]
[Epoch 59/5000][train LL: -280.65; val LL: -276.40].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 60/5000][train LL: -280.00; val LL: -275.63].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 61/5000][train LL: -279.10; val LL: -274.85].....[train forward+backward+step 5.40; val forward 0.22]
[Epoch 62/5000][train LL: -278.47; val LL: -274.11].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 63/5000][train LL: -277.38; val LL: -273.36].....[train forward+backward+step 5.34; val forward 0.22]
