[Epoch 1/5000][train LL: -1737.68; val LL: -610.35].....[train forward+backward+step 19.05; val forward 0.99]
[Epoch 2/5000][train LL: -581.78; val LL: -574.88].....[train forward+backward+step 9.62; val forward 0.60]
[Epoch 3/5000][train LL: -545.16; val LL: -532.67].....[train forward+backward+step 9.43; val forward 0.61]
[Epoch 4/5000][train LL: -505.03; val LL: -504.42].....[train forward+backward+step 9.46; val forward 0.62]
[Epoch 5/5000][train LL: -475.03; val LL: -486.92].....[train forward+backward+step 9.36; val forward 0.63]
[Epoch 6/5000][train LL: -459.31; val LL: -472.85].....[train forward+backward+step 9.52; val forward 0.62]
[Epoch 7/5000][train LL: -443.12; val LL: -459.44].....[train forward+backward+step 9.30; val forward 0.63]
[Epoch 8/5000][train LL: -428.55; val LL: -447.11].....[train forward+backward+step 9.48; val forward 0.63]
[Epoch 9/5000][train LL: -417.22; val LL: -436.86].....[train forward+backward+step 9.42; val forward 0.61]
[Epoch 10/5000][train LL: -402.76; val LL: -428.80].....[train forward+backward+step 9.36; val forward 0.61]
[Epoch 11/5000][train LL: -396.25; val LL: -422.55].....[train forward+backward+step 9.80; val forward 0.62]
[Epoch 12/5000][train LL: -388.12; val LL: -417.05].....[train forward+backward+step 13.69; val forward 1.46]
[Epoch 13/5000][train LL: -382.09; val LL: -412.78].....[train forward+backward+step 11.54; val forward 0.62]
[Epoch 14/5000][train LL: -378.92; val LL: -408.54].....[train forward+backward+step 9.32; val forward 0.60]
[Epoch 15/5000][train LL: -375.12; val LL: -404.79].....[train forward+backward+step 9.43; val forward 0.63]
[Epoch 16/5000][train LL: -371.63; val LL: -400.47].....[train forward+backward+step 11.11; val forward 0.62]
[Epoch 17/5000][train LL: -367.02; val LL: -395.95].....[train forward+backward+step 9.44; val forward 0.62]
[Epoch 18/5000][train LL: -363.88; val LL: -391.75].....[train forward+backward+step 9.46; val forward 0.62]
[Epoch 19/5000][train LL: -358.44; val LL: -387.80].....[train forward+backward+step 9.54; val forward 0.62]
[Epoch 20/5000][train LL: -352.27; val LL: -384.39].....[train forward+backward+step 9.53; val forward 0.62]
[Epoch 21/5000][train LL: -351.78; val LL: -381.12].....[train forward+backward+step 9.37; val forward 0.61]
[Epoch 22/5000][train LL: -347.96; val LL: -378.21].....[train forward+backward+step 9.28; val forward 0.61]
